AOC_CODE,RANK_TITLE,OFFICER_SEX,OFFICER_RACE,OFFICER_AGE_RANGE,OFFICER_AGE,OFFICER_DIVISION,OFFICER_ASSIGNMENT,OFFICER_YEARS_SWORN,OBJECTID
7115,POLICE OFFICER                     ,M,B ,30 - 39,37,3RD DIVISION                                           ,2ND PLATOON                                            ,9,1827
7114,POLICE SERGEANT                    ,M,A ,30 - 39,33,CIS SPECIAL VICTIMS                                    ,STAFF                                                  ,9,1828
7117,POLICE OFFICER                     ,M,B ,30 - 39,34,VEHICLE IMPOUNDMENT                                    ,STAFF                                                  ,9,1829
7116,POLICE OFFICER                     ,M,W ,30 - 39,33,4TH DIVISION                                           ,1ST PLATOON                                            ,9,1830
7128,POLICE OFFICER                     ,M,W ,30 - 39,32,5TH DIVISION                                           ,1ST PLATOON                                            ,9,1831
7119,POLICE OFFICER                     ,F,W ,30 - 39,32,4TH DIVISION                                           ,DETECTIVES                                             ,9,1832
7118,POLICE OFFICER                     ,F,W ,30 - 39,35,CIS SPECIAL VICTIMS                                    ,SEX CRIMES                                             ,9,1833
7120,POLICE OFFICER                     ,M,W ,40 - 49,43,7TH DIVISION                                           ,2ND PLATOON                                            ,9,1834
7121,POLICE OFFICER                     ,F,W ,30 - 39,37,4TH DIVISION                                           ,1ST PLATOON                                            ,9,1835
7122,POLICE OFFICER                     ,M,W ,30 - 39,34,MAJOR CRIME DIVISION                                   ,FUGITIVE APPREHENSION SQUAD                            ,9,1836
7123,POLICE OFFICER                     ,M,W ,30 - 39,33,3RD DIVISION                                           ,1ST PLATOON                                            ,9,1837
7127,POLICE OFFICER                     ,M,W ,30 - 39,34,7TH DIVISION                                           ,DETECTIVES                                             ,9,1838
7125,POLICE OFFICER                     ,F,W ,30 - 39,37,CIS ROBBERY                                            ,2ND PLATOON                                            ,9,1839
7124,POLICE OFFICER                     ,F,B ,30 - 39,35,6TH DIVISION                                           ,RESOURCE OFFICERS                                      ,9,1840
7073,POLICE SERGEANT                    ,M,W ,30 - 39,34,3RD DIVISION                                           ,2ND PLATOON                                            ,9,1841
7126,POLICE OFFICER                     ,M,B ,30 - 39,37,4TH DIVISION                                           ,1ST PLATOON                                            ,9,1842
7129,POLICE OFFICER                     ,F,W ,40 - 49,47,5TH DIVISION                                           ,1ST PLATOON                                            ,8,1843
7130,POLICE OFFICER                     ,M,W ,50 - 59,50,RIVER PATROL                                           ,STAFF                                                  ,8,1844
7131,POLICE OFFICER                     ,M,B ,40 - 49,46,FOCUSED INTELLIGENCE UNIT                              ,MAJOR CASE SQUAD                                       ,8,1845
7132,POLICE OFFICER                     ,M,B ,30 - 39,31,4TH DIVISION                                           ,1ST PLATOON                                            ,8,1846
7133,POLICE SERGEANT                    ,F,W ,30 - 39,32,TRAINING                                               ,STAFF                                                  ,8,1847
7135,POLICE OFFICER                     ,F,W ,30 - 39,31,3RD DIVISION                                           ,3RD PLATOON                                            ,8,1848
7134,POLICE OFFICER                     ,M,W ,30 - 39,33,TRAINING                                               ,IN-SERVICE TRAINING UNIT                               ,8,1849
7136,POLICE OFFICER                     ,M,W ,30 - 39,31,3RD DIVISION                                           ,1ST PLATOON                                            ,8,1850
7137,POLICE OFFICER                     ,M,W ,30 - 39,39,VIOLENT CRIME UNIT                                     ,SQUAD 1                                                ,8,1851
7138,POLICE OFFICER                     ,M,B ,30 - 39,38,6TH DIVISION                                           ,RESOURCE OFFICERS                                      ,8,1852
7140,POLICE SERGEANT                    ,M,W ,30 - 39,35,CIS HOMICIDE                                           ,SQUAD 2                                                ,8,1853
7141,POLICE OFFICER                     ,M,W ,30 - 39,33,1ST DIVISION                                           ,DETECTIVES                                             ,8,1854
7142,POLICE OFFICER                     ,F,W ,30 - 39,31,8TH DIVISION                                           ,DETECTIVES                                             ,8,1855
7143,POLICE OFFICER                     ,M,W ,30 - 39,39,FOCUSED INTELLIGENCE UNIT                              ,FIREARMS INTELLIGENCE SQUAD                            ,8,1856
7093,POLICE RECRUIT                     ,M,W ,30 - 39,34,,,0,1857
7075,POLICE RECRUIT                     ,M,W ,30 - 39,35,,,0,1858
7144,POLICE OFFICER                     ,M,W ,30 - 39,33,3RD DIVISION                                           ,1ST PLATOON                                            ,8,1859
7145,POLICE OFFICER                     ,M,W ,30 - 39,32,CANINE UNIT                                            ,2ND PLATOON                                            ,8,1860
7146,POLICE OFFICER                     ,M,W ,30 - 39,36,2ND DIVISION                                           ,1ST PLATOON                                            ,8,1861
